,Name,Address,,,,,,,,,
56,상암한국지역정보개발원점,서울특별시,마포구,서울특별시 마포구,성암로301,KLID한국지역정보개발원,1층,,,,
57,포스코옆삼성로86길점,서울특별시,강남구,서울특별시 강남구,삼성로86길,11,거봉빌딩,1층,,,
58,삼성역글라스타워뒷점,서울특별시,강남구,서울특별시 강남구,영동대로85길,9,(대치동),서전빌딩1층,,,
59,예술의전당앞점,서울특별시,서초구,서울특별시 서초구,반포대로4(서초동),2층,,,,,
60,고대참살이길점,서울특별시,성북구,서울특별시 성북구,인촌로24길,25,(안암동5가),2층,,,
61,올림픽공원북2문앞점,서울특별시,강동구,서울특별시 강동구,강동대로193,1층,,,,,
62,명동M플라자점,서울특별시,중구,서울특별시 중구,명동8길,27(명동2가),,,,,
63,을지로입구역점,서울특별시,중구,서울특별시 중구,남대문로10길,6,1,,,,
64,오목교역사거리점,서울특별시,양천구,서울특별시 양천구,오목로,350,목동썬텍씨티빌딩,1층,,,
65,석촌호수점,서울특별시,송파구,서울특별시 송파구,석촌호수로,222,제이타워,1층,,,
66,용산아이파크몰점,서울특별시,용산구,서울특별시 용산구,한강대로23길55,현대아이파크몰용산,서관6층,,,,
67,낙성대역점,서울특별시,관악구,서울특별시 관악구,남부순환로1909,1,,,,,
68,신천역점,서울특별시,송파구,서울특별시 송파구,올림픽로100,효창타워1층,,,,,
69,강남오토스퀘어점,서울특별시,강남구,서울특별시 강남구,강남대로350,,,,,,
70,남양주화도DT점,경기도,남양주시,경기도 남양주시,화도읍,묵현리,411-4,,,,
71,김포장기DT점,경기도,김포시,경기도 김포시,태장로,819,,,,,
72,부천북부역사거리점,경기도,부천시,경기도 부천시,부천로25,,,,,,
73,하남신세계백화점 B1점,경기도,하남시,경기도 하남시,미사대로,750,,,,,
74,안양시청앞점,경기도,안양시,경기도 안양시 동안구,동안구,시민대로,260,,,,
75,파주DT점,경기도,파주시,경기도 파주시,문발로,131,,,,,
76,광명아브뉴프랑점,경기도,광명시,경기도 광명시,양지로16,아브뉴프랑,지하,2층,(주)커피빈코리아,광명아브뉴프랑점,
77,분당차병원본관앞점,경기도,성남시,경기도 성남시 분당구,분당구,야탑로64,DS타워,1층,,,
78,수원인계DT점,경기도,수원시,경기도 수원시 팔달구,팔달구,967-4,,,,,
79,동탄능동DT점,경기도,화성시,경기도 화성시,능동,453-4,,,,,
80,성균관대 자연과학캠퍼스점,경기도,수원시,경기도 수원시 장안구,장안구,서부로,2066,,,,
81,서수원이마트점,경기도,수원시,경기도 수원시 권선구,권선구,수인로,291(구운동),,,,
82,성남신흥점,경기도,성남시,경기도 성남시 수정구,수정구,수정로,190,(신흥동),,,
83,수원송죽DT점,경기도,수원시,경기도 수원시 장안구,장안구,경수대로,989,,,,
84,평택소사점,경기도,평택시,경기도 평택시,평남로,862,,,,,
85,화정중앙공원점,경기도,고양시,경기도 고양시 덕양구,덕양구,화신로260번길,26,동민프라자,1층,103~107호,
86,안양1번가점,경기도,안양시,경기도 안양시 만안구,만안구,안양로304번길,12,세진빌딩,2층,,
87,부천상동점,경기도,부천시,경기도 부천시,길주로,111,센타플라자,1층,,,
88,산본역점,경기도,군포시,경기도 군포시,광정로58,1층,104호,및,2층,,
89,강남대점,경기도,용인시,경기도 용인시 기흥구,기흥구,강남로,3,강남앤플러스,1층,,
90,파주운정홈플러스점,경기도,파주시,경기도 파주시,청암로,17번길,17,1층,,,
91,수지동천점,경기도,용인시,경기도 용인시 수지구,수지구,손곡로,95,송란빌딩,1층,,
92,수원망포역점,경기도,수원시,경기도 수원시 영통구,영통구,영통로,214번길,8,1층,,
93,부천역점,경기도,부천시,경기도 부천시,부천로4,2층,,,,,
94,수원역점,경기도,수원시,경기도 수원시 팔달구,팔달구,매산로,11,,,,
95,마두역점,경기도,고양시,경기도 고양시 일산동구,일산동구,중앙로,1193,마두법조빌딩,1층,,
96,평촌점,경기도,안양시,경기도 안양시 동안구,동안구,시민대로327번길,6,,,,
97,분당정자점,경기도,성남시,경기도 성남시 분당구,분당구,정자일로,227(정자동),백궁지엔느주차전용빌딩,1층,,
98,판교알파돔시티점,경기도,성남시,경기도 성남시 분당구,분당구,판교역로145(백현동),판교알파돔,C2-3블럭,1층,,
99,범계역로데오점,경기도,안양시,경기도 안양시 동안구,동안구,평촌대로,223번길,41(호계동,1045-9),2층,
100,이천하이닉스점,경기도,이천시,경기도 이천시,부발읍,하이닉스반도체,,,,,
101,광교아브뉴프랑점,경기도,수원시,경기도 수원시 영통구,영통구,이의동,1332,광교아브뉴프랑,1층,A122,
102,현대프리미엄아울렛 김포점,경기도,김포시,경기도 김포시,고촌읍,전호리,654번지,현대프리미엄아울렛김포3층,618호,,
103,남양연구소PT동점,경기도,화성시,경기도 화성시,장덕동,현대연구소로150,현대자동차남양연구소,PT동,1층,,
104,오리역애플플라자점,경기도,성남시,경기도 성남시 분당구,분당구,탄천상로151번길20,월드쇼핑,B동,1층,,
105,현대자동차구리점,경기도,구리시,경기도 구리시,검배로3,현대자동차1층,,,,,
106,현대자동차남양연구소C1식당점,경기도,화성시,경기도 화성시,장덕동,현대연구소로150,현대자동차남양연구소,C1구역식당1F,,,
107,일산원마운트점,경기도,고양시,경기도 고양시 일산서구,일산서구,한류월드로,300,원마운트스포츠몰,1층,,
108,판교아브뉴프랑점,경기도,성남시,경기도 성남시 분당구,분당구,동판교로177번길,25,,,,
109,수원인계점,경기도,수원시,경기도 수원시 팔달구,팔달구,권광로,195,학산빌딩1층,,,
110,현대자동차남양연구소점,경기도,화성시,경기도 화성시,장덕동,현대연구소로150,현대자동차남양연구소,설계1동1F,,,
111,일산킨텍스현대백화점점,경기도,고양시,경기도 고양시 일산서구,일산서구,대화동,2602,현대백화점킨텍스점,5F,,
112,동탄라마다호텔점,경기도,화성시,경기도 화성시,노작로,199,동탄라마다호텔107호~111호,,,,
113,분당수내점,경기도,성남시,경기도 성남시 분당구,분당구,황새울로,214번길8,MSPlaza내1층,,,
114,분당차병원점,경기도,성남시,경기도 성남시 분당구,분당구,야탑동354,분당차병원신관1층분당차1호,,,,
115,분당플라자점,경기도,성남시,경기도 성남시 분당구,분당구,황새울로,326,서현빌딩상가내2층,,,
116,분당서현점,경기도,성남시,경기도 성남시 분당구,분당구,분당로53번길,11,1층2,,,
117,중동현대백화점U-PLEX점,경기도,부천시,경기도 부천시 원미구,원미구,길주로,180,현대백화점,B1-120,,
118,일산웨스턴돔2호점,경기도,고양시,경기도 고양시 일산동구,일산동구,정발산로,24,웨스턴돔,A-303,,
119,일산웨스턴돔1호점,경기도,고양시,경기도 고양시 일산동구,일산동구,정발산로,24,I동103~203호,,,
120,일산라페스타점,경기도,고양시,경기도 고양시 일산동구,일산동구,장항동,764,라페스타C동,,,
121,영종도운서역점,인천광역시,중구,인천광역시 중구,신도시남로,142번길,6,(메가스타,영종,139,
122,인천공항 제2여객터미널 입국점,인천광역시,중구,인천광역시 중구,운서동,2868,인천공항,제2터미널,1층,연번(23-124),
123,송도트리플스트리트점,인천광역시,연수구,인천광역시 연수구,송도과학로,16번길,Apr-33,D동,119호,,
124,송도홈플러스점,인천광역시,연수구,인천광역시 연수구,송도국제대로,165(송도동),홈플러스송도점1층,,,,
125,공항탑승동105gate앞점,인천광역시,중구,인천광역시 중구,공항로272,인천국제공항탑승동3층,FB-C5-68,,,,
126,공항탑승동130gate앞점,인천광역시,중구,인천광역시 중구,공항로272,인천국제공항탑승동3층,FB-C5-57,,,,
127,부평문화의거리점,인천광역시,부평구,인천광역시 부평구,시장로29,1,,,,,
128,인천구월동점,인천광역시,남동구,인천광역시 남동구,예술로,138,지상1,,,,
129,원주AK플라자점,강원도,원주시,강원도 원주시,봉화로1,AK플라자원주점,1층,,,,
130,창원시티세븐점,경상남도,창원시 의창구,경상남도 창원시 의창구 의창구,의창구,원이대로,320,더시티세븐,1F,Skycone,105호
131,진주LH본사점,경상남도,진주시,경상남도 진주시,충의로,19,LH진주사옥,홍보관1층,,,
132,창원상남동점,경상남도,창원시 성산구,경상남도 창원시 성산구 성산구,성산구,중앙대로,104,마이우스오피스텔,123호,207호,
133,경주미탐시티점,경상북도,경주시,경상북도 경주시,엑스포로80(천군동)1층,,,,,,
134,포항영일대점,경상북도,포항시,경상북도 포항시 북구,북구,삼호로265번길1,NB-City복합시설1층104호,,,,
135,광주상무역점,광주광역시,서구,광주광역시 서구,상무중앙로,9,,,,,
136,대구중앙로점,대구광역시,중구,대구광역시 중구,중앙대로,412-18,,,,,
137,대전탄방동점,대전광역시,서구,대전광역시 서구,문정로76,1층,,,,,
138,대전둔산동점,대전광역시,서구,대전광역시 서구,둔산로26,소레빌딩,,,,,
139,부산남포역점,부산광역시,중구,부산광역시 중구,해관로,1,희남빌딩,1층,,,
140,해운대센텀호텔점,부산광역시,해운대구,부산광역시 해운대구,센텀3로,20,해운대센텀호텔,1F,101호,,
141,부산서면점,부산광역시,부산진구,부산광역시 부산진구,서면로,Jan-62,에이스메디컬타워,1F,,,
142,부산서면서전로점,부산광역시,부산진구,부산광역시 부산진구,서전로,12,,,,,
143,부산정관점,부산광역시,기장군,부산광역시 기장군,정관로,563,1층,,,,
144,부산수영역점,부산광역시,수영구,부산광역시 수영구,수영로,667,1층,,,,
145,해운대점,부산시,해운대구,부산시 해운대구,해운대,해변로277,다옴빌딩1층,,,,
146,부산광복동점,부산광역시,중구,부산광역시 중구,창선동,2가,08월 02일,,,,
147,울산현대백화점점,울산광역시,남구,울산광역시 남구,삼산로,261,현대백화점5층,,,,
148,울산업스퀘어점,울산광역시,남구,울산광역시 남구,화합로,185,업스퀘어,1층,,,
149,천안신부동점,충청남도,천안시,충청남도 천안시 동남구,동남구,만남로,48(신부동),,,,
150,고대세종캠퍼스점,세종특별자치시,세종로,세종특별자치시 세종로,2511,고대세종캠퍼스호연학사4관1층,,,,,
151,청주지웰시티점,충청북도,청주시,충청북도 청주시 흥덕구,흥덕구,대농로,17,지웰시티몰,1층,124-1,
152,청주점,충청북도,청주시,충청북도 청주시 상당구,상당구,상당로69번길20,2~4층,,,,
