상호명,시도명,시군구명,주소,
빽다방,충청남도,천안시 서북구,충청남도 천안시 서북구,5
빽다방,전라북도,전주시 완산구,전라북도 전주시 완산구,5
빽다방,충청남도,홍성군,충청남도 홍성군,2
빽다방,경상북도,울진군,경상북도 울진군,1
빽다방,경상남도,창원시 의창구,경상남도 창원시 의창구,2
빽다방,경상북도,구미시,경상북도 구미시,3
빽다방,전라남도,여수시,전라남도 여수시,3
빽다방,경상남도,고성군,경상남도 고성군,2
빽다방,경상남도,김해시,경상남도 김해시,3
빽다방,전라남도,목포시,전라남도 목포시,3
빽다방,충청남도,천안시 동남구,충청남도 천안시 동남구,3
빽다방,충청남도,아산시,충청남도 아산시,4
빽다방,전라북도,전주시 완산구,전라북도 전주시 완산구,5
빽다방,경상북도,포항시 북구,경상북도 포항시 북구,2
빽다방,제주특별자치도,서귀포시,제주특별자치도 서귀포시,6
빽다방,충청남도,서산시,충청남도 서산시,1
빽다방,전라남도,광양시,전라남도 광양시,1
빽다방,충청남도,천안시 서북구,충청남도 천안시 서북구,5
빽다방,충청남도,천안시 동남구,충청남도 천안시 동남구,3
빽다방,전라남도,무안군,전라남도 무안군,1
빽다방,전라북도,정읍시,전라북도 정읍시,1
빽다방,충청남도,당진시,충청남도 당진시,3
빽다방,충청남도,당진시,충청남도 당진시,3
빽다방,제주특별자치도,서귀포시,제주특별자치도 서귀포시,6
빽다방,경상남도,진주시,경상남도 진주시,4
빽다방,경상남도,통영시,경상남도 통영시,3
빽다방,경상남도,거제시,경상남도 거제시,2
빽다방,경상남도,진주시,경상남도 진주시,4
빽다방,경상남도,고성군,경상남도 고성군,2
빽다방,제주특별자치도,서귀포시,제주특별자치도 서귀포시,6
빽다방,경상남도,거창군,경상남도 거창군,1
빽다방,전라남도,목포시,전라남도 목포시,3
빽다방,충청남도,홍성군,충청남도 홍성군,2
빽다방,충청남도,보령시,충청남도 보령시,1
빽다방,경상북도,예천군,경상북도 예천군,1
빽다방,제주특별자치도,서귀포시,제주특별자치도 서귀포시,6
빽다방,서울특별시,서초구,서울특별시 서초구,9
빽다방,서울특별시,동대문구,서울특별시 동대문구,5
빽다방,서울특별시,광진구,서울특별시 광진구,5
빽다방,서울특별시,송파구,서울특별시 송파구,11
빽다방,서울특별시,광진구,서울특별시 광진구,5
빽다방,서울특별시,중구,서울특별시 중구,7
빽다방,서울특별시,강동구,서울특별시 강동구,5
빽다방,서울특별시,강동구,서울특별시 강동구,5
빽다방,서울특별시,구로구,서울특별시 구로구,5
빽다방,부산광역시,중구,부산광역시 중구,3
빽다방,서울특별시,강서구,서울특별시 강서구,8
빽다방,서울특별시,양천구,서울특별시 양천구,4
빽다방,서울특별시,성북구,서울특별시 성북구,6
빽다방,서울특별시,관악구,서울특별시 관악구,5
빽다방,서울특별시,강북구,서울특별시 강북구,1
빽다방,서울특별시,강남구,서울특별시 강남구,16
빽다방,서울특별시,관악구,서울특별시 관악구,5
빽다방,서울특별시,은평구,서울특별시 은평구,6
빽다방,부산광역시,동래구,부산광역시 동래구,2
빽다방,서울특별시,서대문구,서울특별시 서대문구,4
빽다방,서울특별시,용산구,서울특별시 용산구,4
빽다방,부산광역시,해운대구,부산광역시 해운대구,4
빽다방,부산광역시,중구,부산광역시 중구,3
빽다방,서울특별시,서초구,서울특별시 서초구,9
빽다방,서울특별시,강남구,서울특별시 강남구,16
빽다방,부산광역시,연제구,부산광역시 연제구,1
빽다방,서울특별시,용산구,서울특별시 용산구,4
